PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
2,2349,14,0,0,1,0,0,0,0,0,14,0,1.45,367.22,367.13,0,0,0,0.09,0,0,0,0,198.35,198.35,0,0,0,32,31,0,0,21,21,0,0,0,35,0,0,0,35,0,0
3,2404,13,0,1,1,0,0,1,0,0,13,0,3.13,22.78,22.78,0,0,0,0,3,0,0,0,197.05,197.05,0,0,0,25,25,0,0,77,77,0,0,0,25.32,0,0,0,25.32,0,0
2,2405,30,2,0,1,1,0,0,1,0,30,4,297.6,849.93,835.2,8.6,0,0,6.13,0,0,0,0.000628,411.38,408.68,2.2,0,0,182,166,6,0,129,125,3,0,0,55,0.33,0,0,55,0,0
1,2432,30,30,1,1,1,0,1,1,5,30,15,99.08,641.82,593.73,48.08,0,0,0.01,1,0,0,1358.444381,544.48,516.02,28.47,0,0,599,561,38,0,557,527,30,0,0,356,4.32,30,1188.645688,356,0,0
2,2440,23,0,0,1,1,0,0,0,0,21,5,42.22,106.18,97.65,8.5,0,0,0.03,0,0,0,0,71.07,61.8,8.42,0,0,53,43,8,0,39,29,9,0,0,120,1.28,0,0,120,0,0
3,2494,31,0,0,1,0,0,0,0,0,31,0,223.4,1284.55,1284.08,0,0,0,0.47,0,0,0,0,1315.25,1315.25,0,0,0,232,222,0,0,229,229,0,0,0,45,0,0,0,45,0,0
2,2495,31,0,0,1,1,0,0,0,0,31,1,116.75,469.95,465.93,3.48,0,0,0.54,0,0,0,0,455.37,450.2,5.17,0,0,167,159,1,0,64,61,3,0,0,51,29.34137937,0,0,51,0,0
1,2511,11,0,0,1,0,0,0,0,0,8,0,1,6.92,6.57,0,0,0,0.35,0,0,0,0,168.43,151.23,17.2,0,0,19,14,0,0,34,30,4,0,0,0,0.255,0,0,0,0,0
3,2526,25,17,0,1,0,0,0,1,0,24,0,411.3,806.8,804.92,0,0,0,1.88,0,0,0,484.477615,93.12,93.12,0,0,0,117,98,0,0,20,20,0,0,0,40,0.0625,15,406.753854,40,0,0
3,2545,29,28,0,1,1,0,0,1,0,27,6,60.57,219.7,210.75,7.32,0,0,1.63,0,0,0,497.921757,492.58,490.3,2.28,0,0,97,75,7,0,114,110,4,0,0,113.5,0.3625,27,453.177269,113.5,0,0
3,2571,18,1,1,1,0,0,1,1,0,18,0,26.53,55.62,55.57,0,0,0,0.05,1,0,0,1.297226,163.2,163.2,0,0,0,48,47,0,0,94,94,0,0,0,0,0,0,0,0,0,0
1,2606,23,25,0,1,1,0,0,1,0,23,6,104.27,286.03,239.28,46.75,0,0,0,0,0,0,2484.42112,455.85,397.87,57.98,0,0,75,66,9,0,103,95,8,0,0,41.5,8.7075,25,2457.750339,41.5,0,0
3,2636,31,22,0,1,1,0,0,1,0,31,3,191.32,832.78,831.87,0.92,0,0,-0.01,0,0,0,635.973032,389.98,389.47,0.52,0,0,519,516,3,0,218,217,1,0,0,50,0.0775,21,613.368098,50,0,0
2,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,2700,30,0,0,1,0,0,0,0,0,30,0,252.72,1842.18,1841.23,0,0,0,0.95,0,0,0,0,997.57,997.07,0.5,0,0,261,255,0,0,190,188,2,0,0,52.97,0,0,0,52.97,0,0
3,2705,15,30,7,1,1,0,1,1,0,14,2,0.98,22,13.03,8.75,0,0,0.22,2,44,0,1007.450113,121.18,115.82,5.37,0,0,28,24,2,0,60,59,1,0,0,89,0.805,11,238.50721,89,0,0
1,2732,28,25,6,1,1,0,1,1,0,27,16,235.45,661.22,628.8,31.22,0,0,1.2,13,8,0,28234.87953,466.4,380.42,85.98,0,0,165,128,34,0,239,176,63,0,0,157,12.9575,24,28212.45056,157,0,0
1,2872,29,28,0,1,1,0,0,1,0,28,6,109.07,430.93,417.4,9.78,0,0,3.75,0,0,0,1337.696575,236.8,219.05,17.75,0,0,155,130,7,0,64,52,12,0,0,50,2.6875,28,804.918509,50,0,0
2,2917,27,0,0,1,0,0,0,0,0,27,0,113.53,301.6,301.6,0,0,0,0,0,0,0,0,308.63,308.63,0,0,0,87,87,0,0,97,97,0,0,0,50,0,0,0,50,0,0
1,2921,29,3,0,1,1,0,0,1,0,28,13,47.67,221.43,204.8,11,0,0,5.63,0,0,0,35.335386,453.2,448.35,4.85,0,0,222,153,14,0,259,254,5,0,0,116.86,0.7625,1,12.22174,61.86,0,0
1,2936,6,0,0,1,0,0,0,0,0,6,0,0.4,3.33,3.33,0,0,0,0,0,0,0,0,49.25,46.7,2.55,0,0,8,8,0,0,30,26,4,0,0,7,0.2725,0,0,7,0,0
2,2959,30,0,0,1,1,0,0,0,0,30,4,136.57,398.73,393.92,4.38,0,0,0.43,0,0,0,0,328.78,328.17,0.62,0,0,138,132,4,0,109,108,1,0,0,70,0.0925,0,0,70,0,0
1,2967,29,23,0,1,1,0,0,1,0,29,11,311.5,778.2,763.23,13.62,0,0,1.35,0,0,0,135.636257,376.52,363.98,12.53,0,0,292,276,14,0,171,161,10,0,0,107.26,1.6975,23,131.018092,107.26,0,0
3,2980,31,31,2,1,1,0,1,1,1,31,2,293.08,1572.02,1531.52,3.98,0,0,36.52,2,0,0,2833.349508,1952.15,1951.55,0,0.6,0,320,276,2,0,472,471,0,1,0,98.4,3.124170803,31,2034.681179,98.4,0,0
2,2988,28,31,4,1,1,0,1,1,0,28,2,83.97,823.72,821,2.5,0,0,0.22,4,0,4,5632.83857,856.53,847.55,8.98,0,0,155,151,2,0,134,130,4,0,0,148.3,0,30,4455.796529,148.3,0,0
3,3028,28,29,0,1,1,0,0,1,0,25,25,27.33,449.22,397.12,52.1,0,0,0,0,0,0,1806.404653,566.05,553.1,12.95,0,0,255,204,51,0,229,209,20,0,0,123,1.96,29,1801.31374,123,0,0
1,3063,30,10,0,1,1,0,0,1,0,30,2,176.92,672.82,637.85,32.03,0,0,2.94,0,0,0,1833.858344,789.47,781.35,8.12,0,0,205,176,2,0,246,243,3,0,0,63,1.225,8,1788.757256,63,0,0
2,3075,24,11,1,1,1,0,1,1,0,23,3,93.75,498.55,469.55,27.57,0,0,1.43,1,0,0,263.823518,838.58,834.08,4.5,0,0,299,272,10,0,356,346,10,0,0,35.48,0.51,1,160.005416,35.48,0,0
2,3145,31,3,3,1,1,0,1,1,0,31,15,36.28,306.72,243.85,59.78,0,0,3.09,0,7,0,106.516953,354.17,268.02,86.15,0,0,185,138,41,0,87,54,33,0,0,67.4,13.195,1,2.773233,59.4,0,0
2,3176,31,31,1,1,1,0,1,1,0,31,18,42.8,250.37,183.37,67,0,0,0,0,7,0,66127.39115,116.57,70.82,45.75,0,0,207,171,36,0,130,100,30,0,0,135,6.9025,31,65793.0944,135,0,0
2,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.17,179.15,102.02,0,0,0,0,0,0,34,28,6,0,0,0,15.3125,0,0,0,0,0
3,3231,8,0,0,1,0,0,0,0,0,1,0,0,3.62,0.12,0,0,0,3.5,0,0,0,0,75.42,74.13,1.28,0,0,31,2,0,0,46,44,2,0,0,0,0.1925,0,0,0,0,0
2,3281,25,0,0,1,1,0,0,0,0,24,2,62.88,447.5,438.07,7.58,0,0,1.85,0,0,0,0,534.48,521.87,7.92,4.7,0,169,161,2,0,173,164,6,3,0,66.5,18.58164143,0,0,66.5,0,0
2,3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,9.62,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2,3303,31,12,0,1,0,0,0,1,0,31,0,24.83,226.63,224.63,0,0,0,2,0,0,0,289.239145,279.17,279.17,0,0,0,321,318,0,0,327,327,0,0,0,50,0,10,252.077972,50,0,0
2,3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.45,18.62,1.83,0,0,0,0,0,0,6,5,1,0,0,0,0.275,0,0,0,0,0
1,3332,25,0,0,1,0,0,0,0,0,25,0,63.62,241.77,241.77,0,0,0,0,0,0,0,0,175.47,171.52,3.95,0,0,64,64,0,0,69,64,5,0,0,55,0.5175,0,0,55,0,0
1,3348,29,0,0,1,0,0,0,0,0,29,0,506.37,1103.63,1103.63,0,0,0,0,0,0,0,0,907.8,856.95,11.05,39.8,0,122,122,0,0,123,106,9,8,0,45,13.8285636,0,0,45,0,0
3,3365,22,30,6,1,0,0,1,1,0,22,0,4.15,241.5,240.5,0,0,0,1,16,0,0,396.967985,313.17,306.45,6.72,0,0,144,142,0,0,198,192,6,0,0,155,1.0875,27,303.940855,155,0,0
3,3369,31,27,1,1,1,0,1,1,0,31,1,159.53,650.85,636.97,4,0,0,9.88,1,0,0,360.968828,258.35,249.82,8.53,0,0,235,229,1,0,78,75,3,0,0,59.4,2.7425,8,95.538189,59.4,0,0
3,3384,13,0,2,1,1,0,1,0,0,12,2,4.13,85.83,82.17,2.65,0,0,1.01,3,3,0,0,261.5,260.72,0.78,0,0,49,42,2,0,96,94,2,0,0,41.36,0.1225,0,0,41.36,0,0
1,3385,29,0,0,1,1,0,0,0,0,29,3,47.6,197.48,185,11.47,0,0,1.01,0,0,0,0,191.28,104.68,86.6,0,0,121,110,9,0,110,51,59,0,0,150.04,12.945,0,0,75.04,0,0
3,3391,28,0,0,1,0,0,0,0,0,28,0,65.07,279.45,279.4,0,0,0,0.05,0,0,0,0,260.65,260.65,0,0,0,70,69,0,0,66,66,0,0,0,71,0,0,0,71,0,0
1,3395,1,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0.45,0,0,0,0,12.7,12.7,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1,3402,7,1,0,1,0,0,0,1,0,7,0,21.9,101.57,101.57,0,0,0,0,0,0,0,0.008479,57.25,57.25,0,0,0,8,8,0,0,6,6,0,0,0,20.5,0,0,0,20.5,0,0
3,3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2,3476,3,0,0,1,0,0,0,0,0,3,0,13.5,14.23,13.68,0,0,0,0.55,0,0,0,0,46.75,46.75,0,0,0,9,6,0,0,19,19,0,0,0,3,0.0725,0,0,3,0,0
1,3517,13,0,0,1,0,1,0,0,0,9,0,0,15.02,12.83,0,1.92,0,0.27,0,0,0,0,37.13,36.73,0,0.4,0,25,18,0,2,63,62,0,1,0,53.5,1.091215417,0,0,53.5,0,0
3,3523,31,0,0,1,1,0,0,0,0,31,2,106.63,271.32,267.17,2.53,0,0,1.62,0,0,0,0,329.43,327.52,1.92,0,0,178,165,2,0,155,154,1,0,0,73.28,0.29,0,0,73.28,0,0
3,3529,27,0,0,1,1,0,0,0,0,23,14,14.55,118.22,105.97,12.25,0,0,0,0,0,0,0,394.83,269,125.83,0,0,72,45,27,0,235,149,86,0,0,45,18.98,0,0,45,0,0
2,3552,14,27,2,1,1,0,1,1,0,9,5,6.12,20.83,16.2,4.47,0,0,0.16,2,0,0,3542.532425,50.08,37.52,12.57,0,0,25,16,5,0,42,31,11,0,0,95,1.905,22,475.197114,95,27,2939.363363
1,3566,5,0,0,1,1,0,0,0,0,3,1,8.13,17.02,15.87,1.05,0,0,0.1,0,0,0,0,6.77,1.78,4.98,0,0,13,11,1,0,5,2,3,0,0,11.16,0.755,0,0,11.16,0,0
2,3592,30,0,0,1,0,0,0,0,0,30,0,99.38,201.67,201.38,0,0,0,0.29,0,0,0,0,337.57,335.47,2.1,0,0,138,134,0,0,237,235,2,0,0,50,0.32,0,0,50,0,0
1,3682,29,0,0,1,1,0,0,0,0,28,24,91.9,560.1,305.3,254.55,0,0,0.25,0,0,0,0,645.05,392.82,252.23,0,0,230,141,84,0,218,132,86,0,0,259.8,37.2125,0,0,259.8,0,0
1,3689,3,0,0,1,0,0,0,0,0,3,0,0.25,0.62,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3699,25,0,4,1,1,0,1,0,0,23,5,78.22,282.43,274.72,5.2,0,0,2.51,4,0,0,0,313.88,284.08,29.8,0,0,108,81,8,0,85,70,15,0,0,55.15,4.777166667,0,0,55.15,0,0
3,3715,19,0,1,1,1,0,1,0,0,17,4,10.82,94.48,89.45,4.67,0,0,0.36,1,0,0,0,196.8,178.85,17.95,0,0,36,31,4,0,51,47,4,0,0,34.5,2.7,0,0,34.5,0,0
1,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.45,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
1,3767,28,0,0,1,0,0,0,0,0,28,0,90.9,366.87,366.58,0,0,0,0.29,0,0,0,0,337.85,320.67,3.4,13.78,0,105,99,0,0,118,111,3,4,0,55,54.32676057,0,0,55,0,0
2,3782,29,0,0,1,0,0,0,0,0,29,0,212.28,486.17,486,0,0,0,0.17,0,0,0,0,612.02,602.13,9.88,0,0,185,181,0,0,211,204,7,0,0,55,1.355,0,0,55,0,0
2,3837,4,0,0,1,0,0,0,0,0,4,0,2.75,29.88,29.88,0,0,0,0,0,0,0,0,113.88,98.65,0,15.23,0,5,5,0,0,26,25,0,1,0,7.5,4.762060648,0,0,7.5,0,0
3,3839,29,2,0,1,0,1,0,1,0,29,0,42.12,275.07,148.83,0,119.97,0,6.27,0,0,0,0.185111,252.12,248.8,3.32,0,0,181,159,0,7,176,174,2,0,0,150,0.5,0,0,150,0,0
3,3845,28,31,3,1,1,0,1,1,0,23,20,50.22,307.47,251.7,55.23,0,0,0.54,4,0,0,414.718491,292.1,250.03,41.35,0,0,146,99,43,0,145,120,24,0,0,62.5,6.2325,31,390.480965,62.5,0,0
3,3866,30,30,0,1,1,0,0,1,0,30,6,156.97,485.78,459.62,22.78,0,0,3.38,0,0,0,1003.838777,131.12,131.12,0,0,0,192,161,14,0,65,65,0,0,0,70,0,29,321.808755,70,0,0
3,3882,28,14,1,1,1,0,1,1,0,28,20,35.55,276,230.6,41.87,0,0,3.53,0,1,0,3099.405359,270.32,236.17,34.15,0,0,407,283,86,0,331,278,53,0,0,57,5.43955155,12,3075.724478,57,0,0
3,3903,26,0,25,1,1,0,1,0,0,25,16,71.6,308.1,258.18,48.97,0,0,0.95,112,58,0,0,319.97,191.47,116.83,11.67,0,108,64,33,0,169,90,76,3,0,155,87.96182296,0,0,155,0,0
1,3955,29,30,3,1,1,0,1,1,0,29,22,290.72,639.93,561.55,78.22,0,0,0.16,4,1,0,5405.582702,1171.53,1103.08,68.45,0,0,151,87,60,0,168,139,29,0,0,94,10.01,30,4607.698874,94,0,0
2,4014,28,31,9,1,1,1,1,1,0,28,12,10.73,435.08,378.97,44.68,11.43,0,0,12,4,0,213.304746,494.52,425.3,69.22,0,0,215,185,28,2,313,270,43,0,0,148,10.25,0,0,148,0,0
3,4145,23,11,0,1,1,1,0,1,0,21,1,14.2,97.12,59.7,0.3,37.12,0,0,0,0,0,0.012868,93.3,88.93,4.37,0,0,60,56,1,3,62,57,5,0,0,70,0.6675,0,0,70,0,0
3,4202,28,0,0,1,0,0,0,0,0,28,0,134.05,648.72,648.72,0,0,0,0,0,0,0,0,746.67,722.97,23.7,0,0,79,79,0,0,51,50,1,0,0,62,3.555,0,0,62,0,0
3,4321,8,1,0,1,1,0,0,1,0,7,1,0,99.93,99.6,0.17,0,0,0.16,0,0,0,206.524948,127.68,125.62,2.07,0,0,38,35,1,0,70,68,2,0,0,92,0.31,1,206.777981,55,0,0
1,4374,2,0,0,1,0,0,0,0,0,2,0,0,1.4,1.4,0,0,0,0,0,0,0,0,68.88,68.88,0,0,0,2,2,0,0,5,5,0,0,0,45.22,0,0,0,45.22,0,0
1,4396,25,0,0,1,0,0,0,0,0,25,0,12.05,195.33,33.08,0,0,0,162.25,0,0,0,0,909.7,909.7,0,0,0,126,93,0,0,208,208,0,0,0,0,0,0,0,0,0,0
1,4419,22,30,0,1,1,0,0,1,0,22,1,74.15,167.08,166.03,0.8,0,0,0.25,0,0,0,147.535042,222.77,222.77,0,0,0,53,50,1,0,55,55,0,0,0,70.1,2.24165326,30,80.385718,70.1,0,0
3,4448,31,29,1,1,1,0,1,1,0,31,2,293.42,847.55,842.57,2.27,0,0,2.71,0,1,0,1118.010773,691.85,687.88,3.97,0,0,283,275,2,0,210,203,7,0,0,78.28,0.6125,29,1089.071773,78.28,0,0
2,4461,31,0,0,1,1,0,0,0,0,31,3,410.23,1815,1810.8,4.2,0,0,0,0,0,0,0,477.88,470.73,7.15,0,0,284,278,6,0,80,71,9,0,0,50,1.0725,0,0,50,0,0
3,4497,31,0,0,1,0,0,0,0,0,31,0,53,400.1,399.3,0,0,0,0.8,0,0,0,0,590.02,427.75,0.55,161.72,0,201,190,0,0,211,198,1,12,0,60,53.61062012,0,0,60,0,0
3,4550,25,0,0,1,1,0,0,0,0,25,1,26.68,215.43,213.93,1.45,0,0,0.05,0,0,0,0,106.75,100.05,0,6.7,0,75,73,1,0,37,36,0,1,0,63.5,27.90925917,0,0,63.5,0,0
2,4555,15,0,0,1,1,0,0,0,0,10,4,7.58,15.02,10.83,3.65,0,0,0.54,0,0,0,0,240.28,211.53,28.75,0,0,34,19,5,0,71,54,17,0,0,29.31,4.3375,0,0,29.31,0,0
3,4600,27,31,3,1,1,0,1,1,0,27,22,315.9,1328.7,1209.8,114.83,0,0,4.07,1,2,0,82121.93035,923.52,882.8,38.05,1.45,0,336,274,59,0,171,143,26,1,0,337.06,12.08377755,31,36466.18509,337.06,29,45305.96228
2,4609,31,3,1,1,1,0,1,1,0,30,7,349.15,1182.02,1166.18,11.42,0,0,4.42,1,0,0,10.473495,1081.08,1048.32,32.77,0,0,452,408,10,0,369,332,37,0,0,89.97,4.975,2,9.767406,43.97,0,0
1,4636,1,0,0,1,0,0,0,0,0,1,0,0,0.27,0.07,0,0,0,0.2,0,0,0,0,103.2,96.28,6.92,0,0,3,1,0,0,36,30,6,0,0,0,0.705,0,0,0,0,0
2,4717,31,0,0,0,1,1,0,0,0,0,2,0,215.4,0,0.4,215,0,0,0,0,0,0,13.63,13.58,0,0.05,0,95,0,2,93,5,4,0,1,0,133,0.197587255,0,0,133,0,0
1,4739,30,4,14,1,1,0,1,1,0,30,25,140.18,1142.3,949.33,191.98,0,0,0.99,12,16,0,605.460955,391.05,313.92,74.73,2.4,0,355,266,81,0,205,174,30,1,0,209.5,19.76309306,4,454.741055,209.5,0,0
1,4752,3,0,0,1,1,0,0,0,0,1,2,3.82,4.2,3.82,0.38,0,0,0,0,0,0,0,0.92,0.92,0,0,0,9,7,2,0,2,2,0,0,0,62,0,0,0,62,0,0
1,4811,4,0,0,1,0,0,0,0,0,4,0,0.38,3.08,3.02,0,0,0,0.06,0,0,0,0,102.47,102.47,0,0,0,11,10,0,0,57,57,0,0,0,0,0,0,0,0,0,0
1,4818,17,0,0,1,0,0,0,0,0,17,0,47.42,89.73,89.73,0,0,0,0,0,0,0,0,171.65,148.9,0,22.75,0,31,31,0,0,39,32,0,7,0,42.5,59.3673565,0,0,42.5,0,0
1,4821,30,6,1,1,1,0,1,1,0,30,12,215,753.58,723.65,29.38,0,0,0.55,1,0,0,17.628914,367.53,326.35,41.18,0,0,229,200,23,0,106,79,27,0,0,36,6.24,0,0,36,0,0
2,4869,11,7,3,1,1,0,1,1,0,11,7,18.52,109.97,85.45,19.47,0,0,5.05,4,3,0,427.357311,283.28,218.33,64.93,0.02,0,133,106,25,0,152,104,47,1,0,98,9.877224844,7,200.178138,98,2,223.351738
